County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages
"Autauga County, AL",7,4,8,1,1,6,
"Baldwin County, AL",6,6,5,4,1,8,
"Barbour County, AL",6,2,8,1,1,5,
"Bibb County, AL",6,4,8,1,1,5,
"Blount County, AL",6,2,7,1,2,6,
"Bullock County, AL",6,2,8,1,1,6,
"Butler County, AL",6,4,8,1,1,7,
"Calhoun County, AL",6,2,6,1,2,5,
"Chambers County, AL",4,1,8,1,1,5,
"Cherokee County, AL",4,1,4,1,2,5,
"Chilton County, AL",6,4,8,1,1,6,
"Choctaw County, AL",7,5,8,1,1,6,
"Clarke County, AL",7,5,9,1,1,7,
"Clay County, AL",6,2,8,1,1,5,
"Cleburne County, AL",6,2,6,1,2,5,
"Coffee County, AL",6,2,8,1,1,6,
"Colbert County, AL",6,2,8,1,1,5,
"Conecuh County, AL",6,4,8,1,1,7,
"Coosa County, AL",6,1,8,1,1,6,
"Covington County, AL",6,4,8,1,1,6,
"Crenshaw County, AL",6,2,8,1,1,6,
"Cullman County, AL",6,4,7,1,2,5,
"Dale County, AL",6,2,8,1,1,5,
"Dallas County, AL",6,4,8,1,1,6,
"DeKalb County, AL",4,1,4,1,2,5,
"Elmore County, AL",7,4,8,1,1,6,
"Escambia County, AL",6,5,8,1,1,8,
"Etowah County, AL",6,2,6,1,2,5,
"Fayette County, AL",7,2,8,1,1,5,
"Franklin County, AL",6,4,7,1,1,5,
"Geneva County, AL",6,2,8,1,1,7,
"Greene County, AL",7,7,8,1,1,5,
"Hale County, AL",6,4,8,1,1,6,
"Henry County, AL",6,2,8,1,1,7,
"Houston County, AL",6,4,8,1,1,6,
"Jackson County, AL",6,2,5,1,2,5,
"Jefferson County, AL",6,2,7,1,2,5,
"Lamar County, AL",7,4,8,1,1,5,
"Lauderdale County, AL",6,4,8,1,1,5,
"Lawrence County, AL",6,4,8,1,1,5,
"Lee County, AL",4,1,7,1,1,5,
"Limestone County, AL",6,4,6,1,1,5,
"Lowndes County, AL",7,6,8,1,1,5,
"Macon County, AL",6,2,8,1,1,6,
"Madison County, AL",7,4,6,1,2,5,
"Marengo County, AL",7,5,8,1,1,6,
"Marion County, AL",7,2,8,1,1,5,
"Marshall County, AL",4,2,5,1,2,5,
"Mobile County, AL",6,7,8,4,2,7,
"Monroe County, AL",6,5,8,1,1,7,
"Montgomery County, AL",7,5,8,1,1,5,
"Morgan County, AL",7,5,7,1,1,5,
"Perry County, AL",6,4,8,1,1,7,
"Pickens County, AL",7,7,8,1,1,5,
"Pike County, AL",6,4,8,1,1,5,
"Randolph County, AL",4,1,8,1,1,5,
"Russell County, AL",7,4,8,1,1,6,
"St. Clair County, AL",6,2,8,1,2,6,
"Shelby County, AL",6,4,8,1,2,5,
"Sumter County, AL",7,7,8,1,1,5,
"Talladega County, AL",6,2,8,1,1,5,
"Tallapoosa County, AL",6,2,8,1,1,5,
"Tuscaloosa County, AL",7,6,8,1,1,5,
"Walker County, AL",6,2,8,1,2,5,
"Washington County, AL",6,5,8,3,1,7,
"Wilcox County, AL",7,4,8,1,1,6,
"Winston County, AL",6,2,6,1,1,5,
"Apache County, AZ",4,1,1,1,6,5,
"Cochise County, AZ",7,2,8,1,9,6,
"Coconino County, AZ",3,1,1,1,9,5,
"Gila County, AZ",10,5,1,1,7,5,
"Graham County, AZ",10,2,8,1,8,6,
"Greenlee County, AZ",7,1,6,1,6,5,
"La Paz County, AZ",10,7,1,1,1,7,
"Maricopa County, AZ",10,7,8,1,1,6,
"Mohave County, AZ",10,6,1,1,9,7,
"Navajo County, AZ",7,1,4,1,6,5,
"Pima County, AZ",10,2,1,1,7,6,
"Pinal County, AZ",10,6,8,1,6,7,
"Santa Cruz County, AZ",9,1,1,1,6,5,
"Yavapai County, AZ",4,1,7,1,7,5,
"Yuma County, AZ",10,7,8,1,1,6,
"Arkansas County, AR",7,2,7,1,1,5,
"Ashley County, AR",7,2,8,1,1,5,
"Baxter County, AR",6,2,8,1,2,4,
"Benton County, AR",6,2,8,1,2,4,
"Boone County, AR",4,1,1,1,2,4,
"Bradley County, AR",7,4,1,1,1,5,
"Calhoun County, AR",6,2,1,1,1,5,
"Carroll County, AR",4,2,1,1,2,4,
"Chicot County, AR",9,4,7,1,1,5,
"Clark County, AR",6,6,9,1,1,4,
"Clay County, AR",6,5,8,1,1,4,
"Cleburne County, AR",6,2,8,1,3,4,
"Cleveland County, AR",6,2,8,1,1,4,
"Columbia County, AR",7,2,1,1,1,5,
"Conway County, AR",7,4,8,1,2,4,
"Craighead County, AR",7,6,8,1,1,4,
"Crawford County, AR",7,4,8,1,2,4,
"Crittenden County, AR",7,6,7,1,1,5,
"Cross County, AR",6,6,8,1,1,4,
"Dallas County, AR",6,7,1,1,1,4,
"Desha County, AR",7,5,7,1,1,5,
"Drew County, AR",7,2,8,1,1,5,
"Faulkner County, AR",7,4,8,1,2,4,
"Franklin County, AR",7,7,9,1,2,4,
"Fulton County, AR",6,4,8,1,2,4,
"Garland County, AR",7,4,1,1,2,4,
"Grant County, AR",7,9,8,1,1,4,
"Greene County, AR",6,4,8,1,1,4,
"Hempstead County, AR",7,2,9,1,1,5,
"Hot Spring County, AR",7,4,8,1,2,4,
"Howard County, AR",7,4,1,1,1,4,
"Independence County, AR",6,2,8,1,2,4,
"Izard County, AR",6,1,8,1,2,4,
"Jackson County, AR",6,2,8,1,1,4,
"Jefferson County, AR",6,7,8,1,1,4,
"Johnson County, AR",7,2,8,1,2,4,
"Lafayette County, AR",7,2,8,1,1,5,
"Lawrence County, AR",6,7,8,1,2,4,
"Lee County, AR",7,4,8,1,1,4,
"Lincoln County, AR",7,2,7,1,1,5,
"Little River County, AR",7,4,9,1,1,5,
"Logan County, AR",7,4,9,1,2,4,
"Lonoke County, AR",6,7,8,1,1,4,
"Madison County, AR",4,2,1,1,2,4,
"Marion County, AR",4,1,1,1,2,4,
"Miller County, AR",7,4,9,1,1,5,
"Mississippi County, AR",7,7,8,1,1,5,
"Monroe County, AR",7,2,7,1,1,4,
"Montgomery County, AR",6,4,1,1,2,4,
"Nevada County, AR",6,2,10,1,1,4,
"Newton County, AR",3,1,1,1,2,4,
"Ouachita County, AR",7,4,1,1,1,5,
"Perry County, AR",6,2,8,1,2,4,
"Phillips County, AR",7,2,7,1,1,4,
"Pike County, AR",7,4,1,1,1,4,
"Poinsett County, AR",7,6,8,1,1,4,
"Polk County, AR",7,2,1,1,2,4,
"Pope County, AR",7,2,8,1,2,4,
"Prairie County, AR",7,2,8,1,1,4,
"Pulaski County, AR",7,7,8,1,1,4,
"Randolph County, AR",6,6,8,1,2,4,
"St. Francis County, AR",6,4,8,1,1,4,
"Saline County, AR",6,4,8,1,2,5,
"Scott County, AR",7,2,1,1,2,4,
"Searcy County, AR",6,2,1,1,2,4,
"Sebastian County, AR",7,4,8,1,2,4,
"Sevier County, AR",7,2,1,1,1,4,
"Sharp County, AR",6,4,1,1,2,4,
"Stone County, AR",6,1,1,1,2,4,
"Union County, AR",7,2,1,1,1,5,
"Van Buren County, AR",6,5,1,1,2,4,
"Washington County, AR",6,2,8,1,3,4,
"White County, AR",7,2,8,1,6,4,
"Woodruff County, AR",7,4,8,1,1,4,
"Yell County, AR",7,2,8,1,2,4,
"Alameda County, CA",6,1,1,4,3,4,
"Alpine County, CA",3,1,1,1,6,4,
"Amador County, CA",7,2,8,1,6,5,
"Butte County, CA",6,2,8,1,6,5,
"Calaveras County, CA",3,1,1,1,6,5,
"Colusa County, CA",7,2,8,1,1,5,
"Contra Costa County, CA",6,1,3,3,2,5,
"Del Norte County, CA",1,1,1,4,1,4,
"El Dorado County, CA",4,2,6,1,8,5,
"Fresno County, CA",9,4,8,1,8,5,
"Glenn County, CA",7,2,8,1,1,5,
"Humboldt County, CA",1,1,3,4,1,4,
"Imperial County, CA",10,7,8,1,1,5,
"Inyo County, CA",10,4,1,1,1,5,
"Kern County, CA",4,1,8,1,1,5,
"Kings County, CA",9,2,8,1,1,5,
"Lake County, CA",7,1,1,1,6,5,
"Lassen County, CA",4,1,1,1,10,4,
"Los Angeles County, CA",4,2,4,3,6,5,
"Madera County, CA",7,2,8,1,6,5,
"Marin County, CA",4,1,1,4,1,4,
"Mariposa County, CA",4,1,1,1,6,5,
"Mendocino County, CA",4,1,3,3,8,5,
"Merced County, CA",9,2,4,1,6,5,
"Modoc County, CA",4,1,4,1,9,4,
"Mono County, CA",3,1,1,1,6,4,
"Monterey County, CA",4,2,3,3,1,5,
"Napa County, CA",4,1,3,3,4,5,
"Nevada County, CA",4,2,6,1,7,5,
"Orange County, CA",4,2,3,4,3,5,
"Placer County, CA",4,2,5,1,7,5,
"Plumas County, CA",4,1,1,1,9,4,
"Riverside County, CA",10,6,8,1,1,5,
"Sacramento County, CA",7,2,4,4,1,5,
"San Benito County, CA",4,2,3,1,6,5,
"San Bernardino County, CA",10,5,8,1,1,5,
"San Diego County, CA",3,1,4,4,6,5,
"San Francisco County, CA",3,2,1,4,1,4,
"San Joaquin County, CA",7,2,4,4,1,5,
"San Luis Obispo County, CA",3,1,3,3,6,5,
"San Mateo County, CA",3,1,3,7,2,4,
"Santa Barbara County, CA",7,2,3,3,6,4,
"Santa Clara County, CA",3,2,3,4,6,5,
"Santa Cruz County, CA",3,1,1,3,1,4,
"Shasta County, CA",7,4,6,1,9,5,
"Sierra County, CA",4,1,1,1,7,4,
"Siskiyou County, CA",6,1,1,1,10,4,
"Solano County, CA",9,2,3,4,3,5,
"Sonoma County, CA",6,5,3,4,3,5,
"Stanislaus County, CA",7,2,4,1,1,5,
"Sutter County, CA",7,2,6,1,1,5,
"Tehama County, CA",9,4,8,1,7,5,
"Trinity County, CA",7,4,1,1,9,4,
"Tulare County, CA",9,2,8,1,1,5,
"Tuolumne County, CA",4,1,5,1,7,5,
"Ventura County, CA",3,2,1,3,6,5,
"Yolo County, CA",9,2,4,4,3,5,
"Yuba County, CA",4,2,8,1,1,5,
"Adams County, CO",6,1,3,1,2,4,
"Alamosa County, CO",3,1,1,1,2,4,
"Arapahoe County, CO",6,1,3,1,2,4,
"Archuleta County, CO",3,1,1,1,6,4,
"Baca County, CO",7,2,6,1,3,5,
"Bent County, CO",7,2,6,1,2,5,
"Boulder County, CO",4,1,3,1,5,4,
"Broomfield County, CO",6,1,3,1,2,4,
"Chaffee County, CO",1,1,1,1,3,4,
"Cheyenne County, CO",7,2,5,1,2,5,
"Clear Creek County, CO",1,1,1,1,2,4,
"Conejos County, CO",3,1,1,1,3,4,
"Costilla County, CO",3,1,1,1,3,4,
"Crowley County, CO",7,1,4,1,2,5,
"Custer County, CO",3,1,1,1,3,4,
"Delta County, CO",4,1,3,1,5,4,
"Denver County, CO",4,1,1,1,2,4,
"Dolores County, CO",4,1,3,1,4,4,
"Douglas County, CO",3,1,3,1,3,4,
"Eagle County, CO",3,1,1,1,4,4,
"Elbert County, CO",4,1,3,1,2,4,
"El Paso County, CO",3,1,3,1,2,4,
"Fremont County, CO",3,1,1,1,6,4,
"Garfield County, CO",4,1,1,1,6,4,
"Gilpin County, CO",1,1,1,1,2,4,
"Grand County, CO",1,1,1,1,3,2,
"Gunnison County, CO",1,1,1,1,6,4,
"Hinsdale County, CO",3,1,1,1,3,2,
"Huerfano County, CO",4,1,1,1,4,4,
"Jackson County, CO",3,1,1,1,3,4,
"Jefferson County, CO",3,1,3,1,4,4,
"Kiowa County, CO",7,2,5,1,2,5,
"Kit Carson County, CO",7,2,4,1,1,4,
"Lake County, CO",1,1,1,1,2,4,
"La Plata County, CO",3,1,3,1,6,4,
"Larimer County, CO",4,1,3,1,6,4,
"Las Animas County, CO",4,1,3,1,6,4,
"Lincoln County, CO",4,1,3,1,3,4,
"Logan County, CO",6,2,4,1,1,4,
"Mesa County, CO",7,2,4,1,7,4,
"Mineral County, CO",1,1,1,1,3,4,
"Moffat County, CO",6,1,1,1,6,4,
"Montezuma County, CO",4,1,3,1,6,4,
"Montrose County, CO",3,1,3,1,6,4,
"Morgan County, CO",6,1,4,1,1,4,
"Otero County, CO",7,1,5,1,2,5,
"Ouray County, CO",1,1,1,1,3,4,
"Park County, CO",1,1,1,1,5,1,
"Phillips County, CO",4,1,4,1,1,4,
"Pitkin County, CO",3,1,1,1,3,4,
"Prowers County, CO",7,2,7,1,2,5,
"Pueblo County, CO",7,1,3,1,3,4,
"Rio Blanco County, CO",4,1,1,1,6,4,
"Rio Grande County, CO",1,1,1,1,3,4,
"Routt County, CO",3,1,1,1,6,4,
"Saguache County, CO",3,1,1,1,5,4,
"San Juan County, CO",1,1,1,1,2,4,
