Full County Number	Price Range-Q3 2022	Geography	growth Q42021	Price Range-Q3 2022	Latitude (generated)	Longitude (generated)	ABS-diff price Q2 2021	Price Q3 2022	Q1 2022	Q4 2021
55107	Less than $150,000	Rusk County,  Wisconsin	rose	Less than $150,000	45.4691	-91.1092	9.0%	$140,764	$137,376	$139,179
55099	Less than $150,000	Price County,  Wisconsin	rose	Less than $150,000	45.6691	-90.3605	9.0%	$147,838	$147,075	$150,348
55078	Less than $150,000	Menominee County,  Wisconsin	rose	Less than $150,000	44.9899	-88.7347	9.0%	$103,510	$130,010	$124,942
55075	Less than $150,000	Marinette County,  Wisconsin	rose	Less than $150,000	45.382	-88.1503	9.0%	$147,130	$154,195	$151,944
55067	Less than $150,000	Langlade County,  Wisconsin	rose	Less than $150,000	45.2517	-89.0523	9.0%	$145,951	$139,463	$139,793
55051	Less than $150,000	Iron County,  Wisconsin	rose	Less than $150,000	46.287	-90.2401	9.0%	$148,663	$159,720	$146,052
55003	Less than $150,000	Ashland County,  Wisconsin	rose	Less than $150,000	46.3491	-90.7366	9.0%	$142,297	$141,550	$138,811
54109	Less than $150,000	Wyoming County,  West Virginia	rose	Less than $150,000	37.6036	-81.5699	3.3%	$84,652	$82,545	$84,291
54105	Less than $150,000	Wirt County,  West Virginia	rose	Less than $150,000	39.0406	-81.4067	3.4%	$106,570	$104,555	$110,466
54103	Less than $150,000	Wetzel County,  West Virginia	rose	Less than $150,000	39.5757	-80.6598	3.3%	$112,235	$109,834	$122,134
54101	Less than $150,000	Webster County,  West Virginia	rose	Less than $150,000	38.4686	-80.4353	3.3%	$85,101	$84,018	$81,934
54099	Less than $150,000	Wayne County,  West Virginia	rose	Less than $150,000	38.1326	-82.4393	4.4%	$116,610	$119,605	$114,588
54097	Less than $150,000	Upshur County,  West Virginia	rose	Less than $150,000	38.8996	-80.2329	3.3%	$147,329	$134,066	$140,289
54095	Less than $150,000	Tyler County,  West Virginia	rose	Less than $150,000	39.4508	-80.8217	3.3%	$107,638	$102,927	$113,528
54091	Less than $150,000	Taylor County,  West Virginia	rose	Less than $150,000	39.352	-80.0487	3.3%	$134,547	$131,348	$126,143
54089	Less than $150,000	Summers County,  West Virginia	rose	Less than $150,000	37.6488	-80.8773	3.3%	$117,168	$108,702	$108,695
54087	Less than $150,000	Roane County,  West Virginia	rose	Less than $150,000	38.7316	-81.3516	3.3%	$120,195	$110,853	$116,593
54085	Less than $150,000	Ritchie County,  West Virginia	rose	Less than $150,000	39.199	-81.0842	3.3%	$108,871	$108,815	$114,000
54083	Less than $150,000	Randolph County,  West Virginia	rose	Less than $150,000	38.7548	-79.8266	3.3%	$130,174	$132,820	$130,033
54081	Less than $150,000	Raleigh County,  West Virginia	rose	Less than $150,000	37.7493	-81.1743	3.3%	$141,723	$134,383	$122,488
54077	Less than $150,000	Preston County,  West Virginia	rose	Less than $150,000	39.4556	-79.6899	3.1%	$144,757	$141,286	$127,336
54075	Less than $150,000	Pocahontas County,  West Virginia	rose	Less than $150,000	38.3891	-79.9839	3.3%	$145,983	$135,424	$143,472
54073	Less than $150,000	Pleasants County,  West Virginia	rose	Less than $150,000	39.3727	-81.1556	3.4%	$127,731	$123,565	$122,919
54069	Less than $150,000	Ohio County,  West Virginia	rose	Less than $150,000	40.1011	-80.6141	1.9%	$146,273	$146,998	$140,944
54067	Less than $150,000	Nicholas County,  West Virginia	rose	Less than $150,000	38.3154	-80.8243	3.3%	$105,059	$108,475	$112,114
54063	Less than $150,000	Monroe County,  West Virginia	rose	Less than $150,000	37.5557	-80.5468	3.3%	$138,247	$130,555	$127,204
54059	Less than $150,000	Mingo County,  West Virginia	rose	Less than $150,000	37.7434	-82.2155	3.3%	$93,062	$88,320	$92,072
54055	Less than $150,000	Mercer County,  West Virginia	rose	Less than $150,000	37.4167	-81.0766	3.3%	$116,719	$114,250	$114,000
54053	Less than $150,000	Mason County,  West Virginia	rose	Less than $150,000	38.7534	-82.0024	3.3%	$121,877	$113,458	$103,272
54051	Less than $150,000	Marshall County,  West Virginia	rose	Less than $150,000	39.8776	-80.6555	1.9%	$126,272	$127,990	$124,336
54049	Less than $150,000	Marion County,  West Virginia	rose	Less than $150,000	39.5144	-80.2637	3.3%	$140,489	$138,935	$137,696
54047	Less than $150,000	McDowell County,  West Virginia	rose	Less than $150,000	37.3753	-81.6356	3.3%	$48,998	$44,726	$41,262
54045	Less than $150,000	Logan County,  West Virginia	rose	Less than $150,000	37.8334	-81.9426	3.3%	$103,265	$110,627	$105,040
